restaurant_id,legal_name,cuisine_type,city,legal_form,kvk_number,sbi_code,registration_date,is_active,seats,loan_amount_requested_eur,loan_purpose
R0037,Bakery & Café Amsterdam 37,Bakery & Café,Amsterdam,BV,34941004,56101,2005-01-23,True,80,25000,Renovation
R0038,Fusion Rotterdam 38,Fusion,Rotterdam,VOF,87701200,56290,2016-02-11,False,113,75000,Equipment purchase
R0039,Seafood Haarlem 39,Seafood,Haarlem,Eenmanszaak,44999379,56102,2016-10-21,True,60,25000,Working capital
R0040,Middle Eastern Eindhoven 40,Middle Eastern,Eindhoven,VOF,96637649,56103,2008-09-15,True,95,150000,Equipment purchase
R0041,Seafood Almere 41,Seafood,Almere,BV,19832887,56290,1998-06-02,True,151,75000,Working capital
R0042,Mexican Leiden 42,Mexican,Leiden,BV,42787299,56103,2003-12-11,True,35,200000,Expansion
R0043,Sushi Arnhem 43,Sushi,Arnhem,BV,99639081,56290,2022-05-15,True,105,150000,Equipment purchase
R0044,Asian Eindhoven 44,Asian,Eindhoven,BV,84252420,56102,2004-01-10,True,26,50000,Inventory
R0045,Mexican Arnhem 45,Mexican,Arnhem,VOF,95125977,56103,2007-06-13,True,125,200000,Working capital
R0046,Steakhouse Rotterdam 46,Steakhouse,Rotterdam,CV,47135391,56101,2000-04-12,False,76,200000,Renovation
R0047,Vegan Utrecht 47,Vegan,Utrecht,CV,84045292,56210,2009-10-01,True,136,75000,Equipment purchase
R0048,Vegan Leiden 48,Vegan,Leiden,VOF,83227889,56101,2001-05-17,True,144,50000,Inventory
R0049,Middle Eastern Utrecht 49,Middle Eastern,Utrecht,VOF,15614174,56103,2022-10-14,True,47,150000,Equipment purchase
R0050,Steakhouse Den Haag 50,Steakhouse,Den Haag,VOF,99514287,56101,2014-01-19,True,106,25000,Inventory
R0051,Vegan Nijmegen 51,Vegan,Nijmegen,VOF,41774346,56102,2016-03-25,True,135,25000,Renovation
R0052,Burger & Grill Amsterdam 52,Burger & Grill,Amsterdam,Eenmanszaak,65259205,56102,2016-06-30,True,131,10000,Equipment purchase
R0053,Italian Maastricht 53,Italian,Maastricht,CV,39854548,56102,2015-02-28,True,129,200000,Expansion
R0054,Indian Eindhoven 54,Indian,Eindhoven,VOF,39920292,56101,2013-09-07,True,127,150000,Expansion
R0055,Indian Eindhoven 55,Indian,Eindhoven,BV,47463522,56103,2012-09-22,True,81,150000,Expansion
R0056,Italian Groningen 56,Italian,Groningen,BV,45059710,56102,2022-01-20,True,53,200000,Working capital
R0057,Seafood Rotterdam 57,Seafood,Rotterdam,CV,56397338,56103,1999-09-19,True,94,75000,Inventory
R0058,Fusion Tilburg 58,Fusion,Tilburg,VOF,44188276,56101,2003-03-10,True,86,100000,Equipment purchase
R0059,Turkish Leiden 59,Turkish,Leiden,VOF,58884978,56210,2021-04-28,False,17,25000,Working capital
R0060,Indian Haarlem 60,Indian,Haarlem,BV,50308572,56290,2012-01-31,True,48,10000,Expansion
R0061,Vegan Tilburg 61,Vegan,Tilburg,Eenmanszaak,84411983,56102,2012-08-19,True,77,150000,Expansion
R0062,Seafood Nijmegen 62,Seafood,Nijmegen,Eenmanszaak,64502486,56290,2005-10-22,True,108,75000,Working capital
R0063,Middle Eastern Den Haag 63,Middle Eastern,Den Haag,Eenmanszaak,72409658,56210,2010-11-14,True,138,100000,Renovation
R0064,Turkish Almere 64,Turkish,Almere,VOF,98429450,56101,2020-12-06,True,23,200000,Inventory
R0065,Indian Rotterdam 65,Indian,Rotterdam,VOF,51663795,56102,2013-01-13,True,97,150000,Renovation
R0066,Pizza Amsterdam 66,Pizza,Amsterdam,CV,92043803,56101,1999-02-05,True,95,100000,Inventory
R0067,Vegan Arnhem 67,Vegan,Arnhem,CV,76354180,56210,2006-09-21,True,25,100000,Equipment purchase
R0068,Middle Eastern Zaandam 68,Middle Eastern,Zaandam,VOF,33607110,56290,2002-10-13,True,129,50000,Inventory
R0069,Indian Leiden 69,Indian,Leiden,BV,71265269,56102,2009-03-06,True,101,10000,Inventory
R0070,Mexican Nijmegen 70,Mexican,Nijmegen,CV,92228802,56290,2023-01-27,True,63,75000,Inventory
R0071,Burger & Grill Leiden 71,Burger & Grill,Leiden,CV,70407340,56103,2018-01-01,True,157,25000,Working capital
R0072,Steakhouse Almere 72,Steakhouse,Almere,VOF,46855845,56210,2021-05-20,True,52,75000,Working capital
R0073,Mexican Eindhoven 73,Mexican,Eindhoven,Eenmanszaak,82498004,56101,2008-07-08,True,158,200000,Renovation
R0074,Burger & Grill Arnhem 74,Burger & Grill,Arnhem,VOF,18620650,56210,2015-03-08,True,17,25000,Inventory
R0075,Italian Tilburg 75,Italian,Tilburg,VOF,66390708,56210,2018-11-25,True,133,10000,Inventory
R0076,Fusion Maastricht 76,Fusion,Maastricht,CV,74019136,56101,1998-11-17,True,138,50000,Working capital
R0077,Fusion Maastricht 77,Fusion,Maastricht,CV,82238741,56290,2015-06-30,True,147,50000,Renovation
R0078,Sushi Den Haag 78,Sushi,Den Haag,CV,75181765,56101,2019-11-26,True,76,150000,Expansion
R0079,French Maastricht 79,French,Maastricht,VOF,93517915,56290,2005-05-28,False,30,100000,Expansion
R0080,Italian Haarlem 80,Italian,Haarlem,BV,96268397,56210,2023-04-26,True,86,200000,Expansion
R0081,Sushi Amsterdam 81,Sushi,Amsterdam,CV,53936531,56102,2006-02-25,True,159,150000,Working capital
R0082,Turkish Eindhoven 82,Turkish,Eindhoven,CV,43859311,56101,2015-01-03,True,72,75000,Inventory
R0083,Pizza Groningen 83,Pizza,Groningen,BV,97477029,56101,2000-05-03,True,73,200000,Renovation
R0084,Italian Maastricht 84,Italian,Maastricht,VOF,42016960,56102,2006-12-11,True,59,25000,Equipment purchase
R0085,French Den Haag 85,French,Den Haag,Eenmanszaak,59512272,56102,2023-04-20,True,61,10000,Equipment purchase
R0086,Asian Eindhoven 86,Asian,Eindhoven,BV,51870192,56290,2005-05-07,True,27,10000,Expansion
R0087,Pizza Arnhem 87,Pizza,Arnhem,BV,89470029,56102,2015-10-17,True,126,150000,Working capital
R0088,Seafood Zaandam 88,Seafood,Zaandam,BV,56600900,56290,2003-06-07,True,115,75000,Working capital
R0089,Steakhouse Breda 89,Steakhouse,Breda,Eenmanszaak,11698142,56210,2001-02-03,True,118,25000,Equipment purchase
R0090,Steakhouse Groningen 90,Steakhouse,Groningen,CV,30534124,56210,2017-06-12,True,145,100000,Inventory
R0091,Turkish Nijmegen 91,Turkish,Nijmegen,CV,72394301,56210,2010-02-12,True,150,25000,Inventory
R0092,Indian Groningen 92,Indian,Groningen,VOF,21631697,56103,2010-01-15,True,85,150000,Renovation
R0093,Seafood Nijmegen 93,Seafood,Nijmegen,CV,55150390,56101,2018-11-05,True,85,75000,Working capital
R0094,Pizza Almere 94,Pizza,Almere,Eenmanszaak,44675473,56103,2006-02-27,True,36,75000,Inventory
R0095,Italian Breda 95,Italian,Breda,VOF,21490777,56102,2010-05-24,True,47,50000,Expansion
R0096,Pizza Zaandam 96,Pizza,Zaandam,CV,96691619,56210,2022-11-27,True,113,150000,Equipment purchase
R0097,Pizza Eindhoven 97,Pizza,Eindhoven,CV,42655866,56103,2002-03-05,True,101,50000,Working capital
R0098,Bakery & Café Breda 98,Bakery & Café,Breda,Eenmanszaak,67110154,56290,2019-03-25,True,154,10000,Expansion
R0099,Sushi Eindhoven 99,Sushi,Eindhoven,VOF,26194158,56102,2010-02-25,True,62,10000,Inventory
R0100,Pizza Den Haag 100,Pizza,Den Haag,CV,47111151,56290,2006-04-22,True,62,250000,Inventory
R0101,Indian Rotterdam 101,Indian,Rotterdam,VOF,49761527,56102,2010-09-11,True,66,250000,Working capital
R0102,Bakery & Café Arnhem 102,Bakery & Café,Arnhem,VOF,46817443,56101,1998-08-20,True,85,150000,Inventory
R0103,Burger & Grill Arnhem 103,Burger & Grill,Arnhem,CV,23769080,56101,2011-02-08,True,79,50000,Expansion
R0104,Mexican Almere 104,Mexican,Almere,VOF,16895666,56103,2019-06-23,True,125,250000,Expansion
R0105,Asian Maastricht 105,Asian,Maastricht,CV,76001106,56101,2003-02-13,True,51,200000,Equipment purchase
R0106,Turkish Utrecht 106,Turkish,Utrecht,Eenmanszaak,21432787,56102,2004-10-21,True,50,150000,Expansion
R0107,Bakery & Café Zaandam 107,Bakery & Café,Zaandam,CV,70467027,56210,2008-02-15,True,128,75000,Inventory
R0108,Seafood Eindhoven 108,Seafood,Eindhoven,BV,91823275,56101,2017-03-27,True,121,50000,Renovation
R0109,Steakhouse Eindhoven 109,Steakhouse,Eindhoven,BV,31079846,56102,2007-06-20,True,23,10000,Equipment purchase
R0110,Middle Eastern Amsterdam 110,Middle Eastern,Amsterdam,CV,89699989,56210,2005-01-08,True,78,250000,Renovation
R0111,Sushi Arnhem 111,Sushi,Arnhem,CV,19553585,56102,2010-12-04,True,30,75000,Inventory
R0112,Asian Tilburg 112,Asian,Tilburg,VOF,96924061,56102,2006-11-16,True,116,25000,Renovation
R0113,Burger & Grill Amsterdam 113,Burger & Grill,Amsterdam,Eenmanszaak,89865458,56290,2001-03-15,True,118,50000,Expansion
R0114,Vegan Almere 114,Vegan,Almere,Eenmanszaak,64023778,56103,2003-07-31,True,131,100000,Expansion
R0115,Seafood Rotterdam 115,Seafood,Rotterdam,BV,67985905,56103,2017-08-21,True,92,25000,Equipment purchase
R0116,Steakhouse Den Haag 116,Steakhouse,Den Haag,BV,46173157,56290,2002-02-05,False,80,200000,Renovation
R0117,Steakhouse Breda 117,Steakhouse,Breda,CV,47333543,56102,2019-02-08,True,14,200000,Expansion
R0118,French Rotterdam 118,French,Rotterdam,Eenmanszaak,64807553,56103,2020-01-22,True,84,150000,Equipment purchase
R0119,Middle Eastern Groningen 119,Middle Eastern,Groningen,CV,48683937,56210,2005-03-19,True,110,75000,Inventory
R0120,Asian Almere 120,Asian,Almere,Eenmanszaak,43876400,56103,1999-08-25,True,57,150000,Expansion
