restaurant_id,year,total_revenue_eur,total_costs_eur,ebitda_eur,net_profit_eur,total_debt_eur,total_assets_eur
R0013,2023,406275.13,285139.89,121135.24,101278.95,15006.3,163948.99
R0013,2024,474235.64,299569.36,174666.28,156401.9,207192.37,220604.65
R0013,2025,388668.09,280652.87,108015.22,60517.32,159385.0,120653.89
R0014,2023,294447.18,202333.64,92113.54,47448.64,36771.89,94021.68
R0014,2024,298022.93,226565.53,71457.4,54563.02,57053.7,125182.6
R0014,2025,355161.64,204961.03,150200.61,128808.08,37093.32,370997.2
R0015,2023,606074.67,437892.29,168182.38,146535.28,339895.03,704295.81
R0015,2024,535356.0,375566.94,159789.06,85578.83,244202.39,335904.44
R0015,2025,509427.64,391366.82,118060.82,102413.54,57076.71,154158.68
R0016,2023,615547.81,419469.7,196078.11,111352.85,32447.15,633269.54
R0016,2024,533719.02,378418.64,155300.38,80450.45,251248.57,200587.29
R0016,2025,628746.47,408484.54,220261.93,148354.93,87741.28,524417.13
R0017,2023,184565.18,137136.6,47428.58,26479.27,53797.15,107969.05
R0017,2024,185307.68,102803.94,82503.74,46940.24,14905.63,132122.72
R0017,2025,184714.92,131198.54,53516.38,40397.37,58406.1,58473.68
R0018,2023,463490.47,298337.33,165153.14,115770.3,177598.92,411930.39
R0018,2024,489976.91,388808.3,101168.61,55133.22,63706.98,545973.17
R0018,2025,541385.07,429112.77,112272.3,98526.27,98368.81,276705.05
R0019,2023,618964.63,454330.04,164634.59,88162.94,78990.03,709316.41
R0019,2024,604259.95,462640.69,141619.26,104268.24,110454.16,585032.97
R0019,2025,779677.23,540379.59,239297.64,195538.87,25340.79,716129.2
R0020,2023,267483.13,185741.19,81741.94,52705.72,30057.98,191438.71
R0020,2024,291258.29,171816.47,119441.82,69269.73,43783.05,164284.29
R0020,2025,311036.83,189094.21,121942.62,84516.74,27465.44,110188.78
R0021,2023,169002.99,118931.19,50071.8,41931.39,49519.31,93309.71
R0021,2024,181523.89,112258.03,69265.86,41541.14,75092.01,99609.61
R0021,2025,213912.51,128921.46,84991.05,57044.14,9416.36,97046.08
R0022,2023,520218.29,377214.22,143004.07,128421.62,105294.53,227727.18
R0022,2024,508224.95,335987.79,172237.16,91460.63,90688.28,291718.18
R0022,2025,522043.35,362852.98,159190.37,135187.29,238565.48,370099.93
R0023,2023,135835.21,103076.04,32759.17,21403.21,66071.29,158457.7
R0023,2024,124063.05,69900.9,54162.15,34784.69,49140.96,80224.07
R0023,2025,133784.95,106009.05,27775.9,19713.96,75979.35,134735.77
R0024,2023,405350.28,294126.23,111224.05,88871.61,44186.23,174798.85
R0024,2024,455112.65,316758.65,138354.0,88489.04,189500.26,397684.57
R0024,2025,426332.06,244429.58,181902.48,117360.28,134602.24,187883.16
R0025,2023,483753.15,357895.71,125857.44,102548.32,235439.55,340827.74
R0025,2024,476850.09,318828.57,158021.52,81565.86,223660.58,442179.21
R0025,2025,482510.06,320774.94,161735.12,110556.09,214359.74,551739.25
R0026,2023,507403.18,364704.33,142698.85,99949.35,183331.72,421353.08
R0026,2024,527029.96,371324.93,155705.03,109764.44,109489.99,309972.58
R0026,2025,469875.6,281370.3,188505.3,126125.16,272514.44,435193.21
R0027,2023,386668.06,296112.94,90555.12,75405.62,158163.43,380600.13
R0027,2024,372031.35,244750.68,127280.67,98689.68,81414.39,138636.28
R0027,2025,357894.07,281393.99,76500.08,48425.28,117975.27,276884.17
R0028,2023,646545.57,412995.26,233550.31,199241.61,343860.02,522437.1
R0028,2024,651665.06,510395.86,141269.2,70756.36,298991.08,706953.05
R0028,2025,677210.8,419427.45,257783.35,151065.55,14141.99,412459.89
R0029,2023,471035.69,290053.13,180982.56,106273.32,188793.48,447980.0
R0029,2024,552569.03,311116.98,241452.05,164130.04,44171.9,338605.74
R0029,2025,467103.32,284432.46,182670.86,142598.93,180339.97,297715.81
R0030,2023,837284.22,522466.97,314817.25,206123.44,247808.24,315595.81
R0030,2024,898676.73,542474.32,356202.41,221435.52,153483.28,1069488.51
R0030,2025,848981.06,608303.54,240677.52,180362.25,313348.98,970035.8
R0031,2023,849515.47,586603.79,262911.68,149975.77,387677.67,945041.63
R0031,2024,718294.25,515704.89,202589.36,173080.32,346356.55,627566.22
R0031,2025,874281.5,510250.34,364031.16,189610.85,453254.48,650715.33
R0032,2023,340426.59,242898.15,97528.44,76087.71,171563.18,296107.54
R0032,2024,317216.32,195949.64,121266.68,89552.08,155967.77,361530.45
R0032,2025,390483.72,235292.82,155190.9,109759.65,106283.63,406442.12
R0033,2023,186850.4,137702.88,49147.52,40381.11,101468.92,120525.79
R0033,2024,185559.15,119534.22,66024.93,58411.44,17958.39,185455.54
R0033,2025,185798.69,122277.37,63521.32,48392.23,58748.32,157778.4
R0034,2023,380137.73,301532.96,78604.77,60110.65,220359.49,319068.64
R0034,2024,373853.93,262852.35,111001.58,65882.14,21065.45,187771.79
R0034,2025,431569.66,281167.97,150401.69,92541.84,174179.63,484356.8
R0035,2023,118651.17,79251.43,39399.74,29906.62,70122.07,91597.97
R0035,2024,129646.58,86143.95,43502.63,29451.74,55272.71,119047.75
R0035,2025,116822.02,76998.88,39823.14,24740.69,32943.66,90302.31
R0036,2023,644384.97,390936.87,253448.1,154469.29,108393.45,304619.63
R0036,2024,737909.46,525382.28,212527.18,139274.67,155483.53,531912.9
R0036,2025,728017.45,513909.36,214108.09,108357.04,36492.21,517295.7
R0037,2023,401499.29,223549.74,177949.55,108249.6,180239.29,342905.37
R0037,2024,469631.68,360654.3,108977.38,75892.38,278972.13,150261.86
R0037,2025,494719.83,346479.36,148240.47,112597.28,125829.18,312488.81
R0038,2023,380880.01,278753.6,102126.41,70578.99,213775.07,198381.57
R0038,2024,478668.64,305389.15,173279.49,128829.86,115725.77,181384.22
R0038,2025,430435.72,296888.56,133547.16,90277.77,256763.26,379529.82
R0039,2023,253098.25,183395.66,69702.59,41514.09,43113.89,225729.92
R0039,2024,319278.82,232146.72,87132.1,60742.72,138061.74,229017.74
R0039,2025,246255.73,195509.07,50746.66,35931.69,84065.74,168534.49
R0040,2023,335209.19,206012.95,129196.24,103498.48,118426.41,227209.19
R0040,2024,316866.49,199862.15,117004.34,67114.39,99285.38,99487.42
R0040,2025,314851.06,227679.87,87171.19,74408.3,3097.78,204454.97
R0041,2023,431174.83,336815.42,94359.41,77332.03,19735.06,159958.04
R0041,2024,524660.83,326667.14,197993.69,154686.64,135986.51,163327.29
R0041,2025,509594.99,330004.94,179590.05,153010.91,47447.2,276390.55
R0042,2023,164456.9,103064.88,61392.02,50900.4,55586.96,97612.01
R0042,2024,170774.61,133123.82,37650.79,19612.98,7454.42,164584.93
R0042,2025,206071.55,129700.58,76370.97,64827.75,3960.06,168254.71
R0043,2023,589499.91,444834.44,144665.47,92024.4,21298.1,185788.71
R0043,2024,603745.66,426527.99,177217.67,127878.61,18504.56,720932.43
R0043,2025,613634.33,346705.5,266928.83,146356.18,156577.63,445768.93
R0044,2023,105519.55,58911.32,46608.23,40665.56,21093.3,125260.07
R0044,2024,98305.04,71591.59,26713.45,16343.94,39496.37,43517.37
R0044,2025,121601.76,96900.0,24701.76,17060.82,47785.94,66410.02
R0045,2023,810055.41,525685.45,284369.96,169614.41,209720.73,748924.77
R0045,2024,755576.28,494878.53,260697.75,221184.14,30207.58,269244.36
R0045,2025,802322.49,443723.88,358598.61,320515.9,424358.72,501480.39
R0046,2023,306044.53,172969.16,133075.37,91046.97,71718.45,251890.53
R0046,2024,316217.17,206347.5,109869.67,57925.28,6996.45,204832.59
R0046,2025,338934.79,200753.02,138181.77,119535.24,63301.43,215204.19
R0047,2023,533307.4,352397.39,180910.01,125077.81,57572.46,602075.07
R0047,2024,506876.67,284364.75,222511.92,142171.08,95669.7,446185.11
R0047,2025,399210.32,220790.04,178420.28,155101.2,187336.96,228939.57
R0048,2023,979994.6,648013.43,331981.17,176157.8,475093.15,1170289.98
R0048,2024,800702.55,519710.75,280991.8,232578.9,327693.93,603520.91
R0048,2025,868680.66,577250.93,291429.73,226888.23,296285.88,872714.51
R0049,2023,274019.62,178749.79,95269.83,85634.56,117475.37,286484.62
R0049,2024,267255.24,153082.83,114172.41,102460.34,29688.65,187779.51
R0049,2025,301470.57,231896.23,69574.34,58139.62,150964.29,351537.58
R0050,2023,791394.81,517813.1,273581.71,170862.79,140087.51,939187.49
R0050,2024,753970.24,440438.45,313531.79,186348.72,183087.84,811825.13
R0050,2025,855146.53,634132.6,221013.93,184048.39,3598.71,875241.66
R0051,2023,803461.94,446645.51,356816.43,253316.2,182489.76,593612.03
R0051,2024,770573.49,517875.7,252697.79,163858.61,239692.39,507540.5
R0051,2025,1006921.77,555795.55,451126.22,361427.84,9330.09,573718.11
R0052,2023,911122.58,707930.16,203192.42,131940.05,179434.12,983843.24
R0052,2024,739676.02,456725.88,282950.14,203576.11,36298.61,797420.23
R0052,2025,737346.78,559480.97,177865.81,137014.98,147549.62,815326.08
R0053,2023,744666.17,533426.89,211239.28,183915.56,207659.49,412666.72
R0053,2024,984413.13,588427.02,395986.11,210454.71,261449.37,379794.73
R0053,2025,858201.45,554968.87,303232.58,214495.09,15935.56,848033.95
R0054,2023,343436.65,238748.72,104687.93,64052.33,82977.6,179547.46
R0054,2024,410695.71,325821.57,84874.14,66205.39,14379.41,192318.75
R0054,2025,376124.0,256674.82,119449.18,99134.56,45652.06,293987.14
R0055,2023,332275.67,202450.09,129825.58,104964.75,73551.8,368175.41
R0055,2024,415431.87,241402.13,174029.74,111863.48,35024.41,427672.74
R0055,2025,350019.85,196217.48,153802.37,113506.44,58817.16,286398.26
R0056,2023,182715.43,117653.64,65061.79,34110.64,44563.68,156237.53
R0056,2024,160907.05,124666.68,36240.37,19054.98,37550.24,93190.42
R0056,2025,180613.18,137789.78,42823.4,31547.63,96129.79,150847.9
R0057,2023,377466.46,291574.87,85891.59,63475.09,113216.69,394457.55
R0057,2024,385200.54,248249.64,136950.9,83493.12,72404.26,443931.6
R0057,2025,366092.27,264481.94,101610.33,86746.96,188274.1,174742.39
R0058,2023,348028.14,245921.3,102106.84,83153.49,204028.59,245026.87
R0058,2024,324782.34,193867.51,130914.83,112656.67,73388.75,141438.81
R0058,2025,287758.44,206535.99,81222.45,49835.91,100179.86,252970.25
R0059,2023,53596.46,42034.47,11561.99,10175.18,27556.15,41036.63
R0059,2024,52623.58,41203.75,11419.83,8109.57,5655.21,35222.63
R0059,2025,55788.14,43814.22,11973.92,9543.34,15187.8,48896.41
R0060,2023,274795.01,159885.96,114909.05,86469.15,116862.42,240511.97
R0060,2024,317100.49,206121.3,110979.19,72712.1,170131.17,149204.64
R0060,2025,293442.08,169600.42,123841.66,66201.04,121820.51,125478.02
R0061,2023,544699.96,311271.4,233428.56,186010.34,177335.62,448390.0
R0061,2024,511350.42,369696.02,141654.4,72328.51,213311.15,574589.8
R0061,2025,548516.31,314981.79,233534.52,163754.64,151503.94,649038.1
R0062,2023,619048.63,428705.88,190342.75,132819.75,15243.67,272950.9
R0062,2024,562165.17,364481.64,197683.53,152751.79,173024.3,312775.63
R0062,2025,523961.52,320280.07,203681.45,137933.77,229064.69,371257.17
R0063,2023,679989.71,421028.5,258961.21,172299.93,239657.82,651583.8
R0063,2024,600820.1,407737.35,193082.75,139258.99,256971.97,380274.21
R0063,2025,703583.28,404205.05,299378.23,217441.81,326010.67,225886.8
R0064,2023,174828.91,113689.74,61139.17,39601.75,36274.12,105918.68
R0064,2024,142914.24,110763.96,32150.28,18125.18,29035.67,88946.49
R0064,2025,173087.18,136808.88,36278.3,21956.2,78665.17,104577.72
R0065,2023,690429.25,519643.96,170785.29,100613.89,100536.82,263376.9
R0065,2024,659351.55,414317.88,245033.67,185929.0,42361.95,342521.08
R0065,2025,689350.89,440589.72,248761.17,185753.97,244365.87,741015.66
R0066,2023,698702.6,446271.67,252430.93,174631.5,263996.3,710795.43
R0066,2024,538453.57,418781.25,119672.32,61887.81,198617.79,313490.87
R0066,2025,632359.66,378417.18,253942.48,135179.78,35487.74,746137.54
R0067,2023,156390.55,98582.5,57808.05,37644.02,66186.31,104808.94
R0067,2024,151189.19,103355.81,47833.38,34446.25,87966.7,147167.53
R0067,2025,141526.37,110301.19,31225.18,23182.54,2065.32,154399.86
R0068,2023,468693.42,267478.73,201214.69,131818.78,78320.23,160040.09
R0068,2024,486050.56,332345.55,153705.01,81495.69,121289.13,520123.8
R0068,2025,369951.16,261430.66,108520.5,70569.06,79184.35,408529.06
R0069,2023,506137.7,305734.57,200403.13,141503.33,164930.0,231579.4
R0069,2024,566927.47,389264.26,177663.21,115877.08,137857.39,278004.11
R0069,2025,488248.03,305190.77,183057.26,136823.63,229426.64,344813.63
R0070,2023,261244.08,143894.09,117349.99,86494.72,122326.24,305357.68
R0070,2024,323158.2,246873.09,76285.11,58660.6,147369.03,165422.28
R0070,2025,247467.28,140554.62,106912.66,81983.56,89394.77,82014.03
R0071,2023,744061.3,463490.19,280571.11,178662.99,353721.23,798533.24
R0071,2024,598393.63,455556.66,142836.97,76679.7,84308.47,613943.42
R0071,2025,677957.88,437171.98,240785.9,174808.48,378995.8,443629.95
R0072,2023,335181.91,209447.34,125734.57,100292.87,32754.93,178868.42
R0072,2024,335754.1,195514.6,140239.5,90057.88,58021.7,254009.03
R0072,2025,357295.41,226848.78,130446.63,86315.68,155844.38,329363.71
R0073,2023,961831.22,627034.95,334796.27,204432.69,540418.61,1106395.43
R0073,2024,1055825.35,602222.71,453602.64,298547.83,395315.23,700807.24
R0073,2025,848951.7,549064.49,299887.21,188284.38,449624.47,778519.27
R0074,2023,49439.15,29172.94,20266.21,15355.69,18857.63,48416.67
R0074,2024,59566.37,37546.29,22020.08,12576.75,14635.37,30753.09
R0074,2025,58565.76,45169.02,13396.74,11084.34,17524.91,57426.09
R0075,2023,704152.31,388460.34,315691.97,174966.48,69001.81,788761.33
R0075,2024,750684.37,600332.4,150351.97,121057.1,449083.22,388605.11
R0075,2025,803688.84,625959.62,177729.22,94236.0,317268.31,311239.39
R0076,2023,847825.19,554605.46,293219.73,261076.39,60872.75,355621.83
R0076,2024,797928.3,572924.85,225003.45,145984.33,244872.76,511288.65
R0076,2025,842366.06,505531.12,336834.94,288606.43,307250.32,970272.18
R0077,2023,842976.74,578991.27,263985.47,162910.62,484033.48,803266.35
R0077,2024,731379.09,461010.67,270368.42,186047.72,21728.36,276849.88
R0077,2025,678760.7,461764.1,216996.6,148072.1,34457.55,652048.69
R0078,2023,257677.62,147242.46,110435.16,91839.36,13751.74,214289.3
R0078,2024,291751.53,171185.03,120566.5,73364.18,144188.98,303024.13
R0078,2025,258762.23,173534.21,85228.02,46872.79,102941.6,277897.24
R0079,2023,178681.72,109559.85,69121.87,61124.45,88185.61,107770.83
R0079,2024,140116.16,96974.26,43141.9,28901.93,13131.9,140827.89
R0079,2025,171992.26,117931.99,54060.27,39157.82,67253.1,58653.88
R0080,2023,360920.34,261179.34,99741.0,55575.86,205027.17,259697.67
R0080,2024,347551.43,270203.85,77347.58,44529.69,196156.69,311192.61
R0080,2025,386409.54,290811.05,95598.49,67893.89,28979.63,335984.86
R0081,2023,573545.21,371803.21,201742.0,108553.92,91422.86,259421.37
R0081,2024,696153.97,417295.33,278858.64,171095.28,3267.24,660204.27
R0081,2025,648649.74,437881.45,210768.29,179439.89,21434.73,323296.45
R0082,2023,223733.25,169765.87,53967.38,39484.66,35413.99,148828.84
R0082,2024,275823.44,173226.85,102596.59,84182.99,123517.23,225533.39
R0082,2025,222896.92,160143.34,62753.58,34370.14,77053.01,223065.14
R0083,2023,336926.37,196119.02,140807.35,90901.63,129566.14,185575.95
R0083,2024,258972.28,173191.86,85780.42,66224.62,116362.83,171241.31
R0083,2025,314536.23,214078.04,100458.19,68135.47,179785.0,143050.08
R0084,2023,204127.09,139914.56,64212.53,44828.59,1899.4,82007.83
R0084,2024,216080.24,153262.91,62817.33,37427.99,90065.7,199910.92
R0084,2025,227892.6,173521.26,54371.34,28954.7,109420.3,91284.55
R0085,2023,266954.02,206441.45,60512.57,40391.67,54405.21,164914.15
R0085,2024,295417.35,167787.85,127629.5,66310.07,34860.59,323004.14
R0085,2025,242232.09,154411.52,87820.57,62693.34,89153.41,80609.39
R0086,2023,120273.88,87497.55,32776.33,28865.86,37318.78,131048.51
R0086,2024,102950.05,57009.47,45940.58,37554.91,4296.11,76611.09
R0086,2025,116742.61,78576.11,38166.5,27246.63,53198.79,84673.57
R0087,2023,648580.65,360062.08,288518.57,211427.11,71963.92,768360.33
R0087,2024,819509.67,491033.56,328476.11,268606.99,221773.14,649038.36
R0087,2025,828662.48,507946.48,320716.0,264545.57,446711.69,823096.6
R0088,2023,432457.01,322696.95,109760.06,77984.42,115850.3,173296.12
R0088,2024,481320.43,330972.82,150347.61,80556.38,132153.84,315045.25
R0088,2025,447392.87,340416.02,106976.85,65129.16,22504.69,327299.03
R0089,2023,525217.42,392061.62,133155.8,105534.27,89398.34,561826.89
R0089,2024,446782.12,343418.43,103363.69,76259.59,21987.48,380861.71
R0089,2025,426731.18,326830.36,99900.82,58475.21,20814.85,430415.58
R0090,2023,1050978.51,784545.79,266432.72,222268.25,80501.1,909088.81
R0090,2024,999041.75,710297.65,288744.1,222544.05,27104.03,679471.6
R0090,2025,920433.2,618457.13,301976.07,265858.47,113394.96,1093359.01
R0091,2023,829705.04,660491.23,169213.81,117519.16,353715.14,992267.54
R0091,2024,1021168.02,693315.5,327852.52,247334.71,145580.58,800113.42
R0091,2025,840245.64,638482.79,201762.85,135817.51,161032.8,350678.32
R0092,2023,572543.23,365432.85,207110.38,154118.82,27712.21,676097.72
R0092,2024,569033.23,450508.77,118524.46,91807.76,200600.0,228098.52
R0092,2025,548182.41,312371.37,235811.04,153516.1,181041.54,171646.62
R0093,2023,386267.55,273237.93,113029.62,97400.67,223254.42,257964.22
R0093,2024,343651.79,238069.97,105581.82,75483.82,170099.84,332647.28
R0093,2025,365041.76,235120.62,129921.14,92903.41,205917.13,336288.73
R0094,2023,205141.59,121088.25,84053.34,56507.23,52979.69,86990.68
R0094,2024,197462.88,147769.98,49692.9,41848.53,91516.38,126601.54
R0094,2025,258762.55,188192.04,70570.51,50814.11,78689.78,262250.89
R0095,2023,196749.5,112844.35,83905.15,56687.02,38594.83,71961.39
R0095,2024,239558.47,150615.51,88942.96,65183.83,70166.29,229338.13
R0095,2025,179662.17,132003.1,47659.07,24655.14,18826.75,160772.66
R0096,2023,875863.54,677861.78,198001.76,138059.26,266936.16,531066.07
R0096,2024,683959.68,474577.62,209382.06,152787.88,13373.28,333380.12
R0096,2025,676248.67,439916.42,236332.25,178798.22,140435.82,617814.0
R0097,2023,597270.62,409534.73,187735.89,156597.7,269119.01,396531.53
R0097,2024,590336.23,440695.67,149640.56,91660.47,328912.93,514880.62
R0097,2025,504071.31,399125.01,104946.3,53531.24,139330.21,225840.18
R0098,2023,843793.02,522499.64,321293.38,287308.21,234718.52,479376.64
R0098,2024,1003771.22,650050.8,353720.42,229630.99,303017.87,904873.48
R0098,2025,894873.94,670248.77,224625.17,156977.08,449063.61,474671.01
R0099,2023,255111.46,161918.81,93192.65,76391.14,6314.27,101327.63
R0099,2024,256369.21,177174.76,79194.45,58338.73,16937.52,176612.36
R0099,2025,221530.53,162395.42,59135.11,52942.45,14322.22,80259.22
R0100,2023,256950.4,147106.76,109843.64,59723.64,30204.81,261088.67
R0100,2024,204785.07,139378.65,65406.42,54170.45,14591.83,169227.74
R0100,2025,230770.35,153001.54,77768.81,61558.47,50902.1,228671.01
R0101,2023,237790.19,148865.02,88925.17,54934.13,84201.33,101595.6
R0101,2024,213079.88,126660.05,86419.83,54211.06,10339.52,106485.16
R0101,2025,251598.98,159881.67,91717.31,68085.22,81902.19,183357.48
R0102,2023,515285.1,291170.88,224114.22,189515.0,22127.52,436468.0
R0102,2024,579395.94,320159.71,259236.23,181974.69,201001.82,440124.0
R0102,2025,450329.89,347984.2,102345.69,53295.45,245685.19,267812.89
R0103,2023,633777.8,417532.82,216244.98,129731.56,347776.86,271976.37
R0103,2024,555748.3,372600.94,183147.36,163729.19,148815.44,407972.6
R0103,2025,540360.81,412367.63,127993.18,77424.51,50464.21,434813.96
R0104,2023,464854.78,294258.78,170596.0,140970.96,140867.46,549292.53
R0104,2024,511864.46,368586.03,143278.43,116283.13,88677.76,500962.32
R0104,2025,521737.62,346293.89,175443.73,149466.36,21584.61,477849.15
R0105,2023,294916.11,224536.34,70379.77,53437.65,138035.95,306888.08
R0105,2024,326003.79,202105.89,123897.9,110395.83,120362.91,155705.51
R0105,2025,299369.95,182599.09,116770.86,59747.11,35120.13,138144.95
R0106,2023,311686.57,204795.02,106891.55,83539.92,147019.41,229331.98
R0106,2024,285660.99,193943.75,91717.24,55143.93,106334.18,320380.58
R0106,2025,245939.47,176415.5,69523.97,51481.51,115871.47,196105.34
R0107,2023,920526.25,525958.88,394567.37,246172.16,197980.42,940860.35
R0107,2024,820372.68,590681.95,229690.73,181287.45,59682.53,853451.37
R0107,2025,920833.84,663610.68,257223.16,168729.84,305220.08,895998.93
R0108,2023,476104.01,292876.31,183227.7,146051.97,158373.81,148437.72
R0108,2024,403271.17,224181.98,179089.19,119969.33,197524.71,287719.9
R0108,2025,467987.89,311259.86,156728.03,101590.3,176136.74,433312.67
R0109,2023,152282.78,102148.26,50134.52,45048.73,52423.46,130693.75
R0109,2024,152247.29,96784.07,55463.22,41421.09,87321.75,147644.04
R0109,2025,120416.05,92871.24,27544.81,21192.48,13225.52,104712.39
R0110,2023,513827.96,398665.41,115162.55,65228.74,207679.65,371393.41
R0110,2024,402494.37,300090.48,102403.89,90416.85,66866.93,423624.26
R0110,2025,503082.73,293037.14,210045.59,107510.7,164346.06,429534.36
R0111,2023,137732.13,90860.76,46871.37,26109.63,67903.84,151706.59
R0111,2024,164209.51,107778.86,56430.65,45190.44,41898.04,124259.19
R0111,2025,156328.65,94978.3,61350.35,47571.66,15057.98,92698.74
R0112,2023,472532.83,328010.65,144522.18,73610.87,279455.07,300171.4
R0112,2024,401905.99,266616.82,135289.17,75726.95,17130.1,265030.24
R0112,2025,472174.99,310176.54,161998.45,102410.18,13454.1,492820.88
R0113,2023,700377.18,544512.13,155865.05,115618.43,51594.24,691107.25
R0113,2024,650738.65,427157.85,223580.8,114482.57,131281.12,622154.03
R0113,2025,660845.68,499939.12,160906.56,110935.57,351640.38,675152.58
R0114,2023,647305.8,426318.89,220986.91,191509.87,342621.88,219733.94
R0114,2024,740229.61,451068.32,289161.29,195309.82,82053.21,800819.13
R0114,2025,789528.69,484781.43,304747.26,186669.19,397713.56,930475.85
R0115,2023,455831.35,337255.49,118575.86,81832.65,176508.32,475710.71
R0115,2024,471438.77,300813.41,170625.36,125641.71,226106.48,499317.52
R0115,2025,475612.14,291204.23,184407.91,103015.71,137671.36,298537.74
R0116,2023,551659.01,357096.53,194562.48,162567.56,125080.26,382695.81
R0116,2024,551392.6,401681.69,149710.91,82358.72,486.15,402031.67
R0116,2025,423524.08,255950.97,167573.11,135024.95,28156.43,223269.11
R0117,2023,72539.48,46217.62,26321.86,20391.09,16834.32,31152.72
R0117,2024,69617.44,51239.47,18377.97,11477.08,17511.67,22804.52
R0117,2025,62302.09,37654.7,24647.39,19846.9,34486.5,74276.63
R0118,2023,272438.33,170185.43,102252.9,53989.82,46074.24,229850.49
R0118,2024,287619.82,224555.58,63064.24,43341.23,67856.07,235137.36
R0118,2025,296422.28,229890.07,66532.21,35846.61,101138.79,173306.52
R0119,2023,588556.18,387135.78,201420.4,157854.71,347910.88,606582.55
R0119,2024,600874.23,374908.54,225965.69,143921.52,261428.29,335954.52
R0119,2025,554459.96,349552.73,204907.23,128257.03,15371.74,622610.09
R0120,2023,227181.12,127536.27,99644.85,83729.77,98999.03,131108.19
R0120,2024,209323.97,150930.36,58393.61,49580.52,1644.43,248071.24
R0120,2025,244730.28,140025.48,104704.8,59691.98,86646.87,204372.35
R0121,2023,211762.36,120093.63,91668.73,68270.19,121264.46,220669.9
R0121,2024,208333.28,134061.81,74271.47,50712.4,116807.66,180906.0
R0121,2025,236632.53,145307.73,91324.8,68846.18,78399.27,251052.08
R0122,2023,91738.44,52445.26,39293.18,23921.41,40298.12,57976.13
R0122,2024,88505.7,57224.28,31281.42,23373.21,44996.45,70363.21
R0122,2025,73909.8,51433.28,22476.52,19786.93,40097.43,64938.97
R0123,2023,346879.91,218509.16,128370.75,97952.73,53077.85,121843.25
R0123,2024,417629.64,239710.57,177919.07,100008.57,114089.39,180618.57
R0123,2025,386989.13,216704.69,170284.44,124331.22,151723.24,290770.72
R0124,2023,398630.94,313652.64,84978.3,45434.44,199573.38,260282.92
R0124,2024,385411.28,286945.29,98465.99,53185.73,174203.18,154055.87
R0124,2025,364240.52,242284.04,121956.48,77712.79,22447.88,173090.83
R0125,2023,890508.69,612520.37,277988.32,239926.6,244233.03,305541.85
R0125,2024,758330.79,476832.35,281498.44,241279.67,441797.96,297936.77
R0125,2025,835454.14,603347.98,232106.16,118768.77,312480.81,318695.9
