restaurant_id,date,amount_eur,direction,category,description
R0001,2025-06-18,204.79,debit,Tax,Operating expense
R0001,2025-06-19,369.4,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-19,201.93,debit,Tax,Operating expense
R0001,2025-06-20,373.15,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-20,247.05,debit,Tax,Operating expense
R0001,2025-06-21,329.32,credit,Online Order Revenue,Daily revenue
R0001,2025-06-21,232.14,debit,Insurance,Operating expense
R0001,2025-06-22,309.26,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-22,249.19,debit,Loan Repayment,Operating expense
R0001,2025-06-23,317.3,credit,Online Order Revenue,Daily revenue
R0001,2025-06-23,190.62,debit,Tax,Operating expense
R0001,2025-06-24,284.16,credit,Online Order Revenue,Daily revenue
R0001,2025-06-24,239.61,debit,Utilities,Operating expense
R0001,2025-06-25,399.23,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-25,239.17,debit,Utilities,Operating expense
R0001,2025-06-26,330.85,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-26,243.58,debit,Maintenance,Operating expense
R0001,2025-06-27,388.23,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-27,241.25,debit,Maintenance,Operating expense
R0001,2025-06-28,319.08,credit,Card Terminal Revenue,Daily revenue
R0001,2025-06-28,272.32,debit,Insurance,Operating expense
R0001,2025-06-29,352.9,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-29,287.37,debit,Tax,Operating expense
R0001,2025-06-30,343.01,credit,Walk-in Revenue,Daily revenue
R0001,2025-06-30,190.66,debit,Maintenance,Operating expense
R0001,2025-07-01,280.52,credit,Online Order Revenue,Daily revenue
R0001,2025-07-01,291.4,debit,Rent,Operating expense
R0001,2025-07-02,405.05,credit,Online Order Revenue,Daily revenue
R0001,2025-07-02,227.27,debit,Food & Beverage Supply,Operating expense
R0001,2025-07-03,320.19,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-03,284.76,debit,Loan Repayment,Operating expense
R0001,2025-07-04,291.04,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-04,202.22,debit,Insurance,Operating expense
R0001,2025-07-05,361.54,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-05,219.74,debit,Tax,Operating expense
R0001,2025-07-06,335.42,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-06,227.84,debit,Loan Repayment,Operating expense
R0001,2025-07-07,349.22,credit,Online Order Revenue,Daily revenue
R0001,2025-07-07,282.87,debit,Food & Beverage Supply,Operating expense
R0001,2025-07-08,339.28,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-08,256.12,debit,Rent,Operating expense
R0001,2025-07-09,253.06,credit,Online Order Revenue,Daily revenue
R0001,2025-07-09,231.86,debit,Rent,Operating expense
R0001,2025-07-10,301.67,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-10,190.86,debit,Tax,Operating expense
R0001,2025-07-11,300.26,credit,Online Order Revenue,Daily revenue
R0001,2025-07-11,221.86,debit,Insurance,Operating expense
R0001,2025-07-12,372.52,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-12,187.09,debit,Maintenance,Operating expense
R0001,2025-07-13,336.86,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-13,216.6,debit,Staff Costs,Operating expense
R0001,2025-07-14,322.43,credit,Online Order Revenue,Daily revenue
R0001,2025-07-14,268.69,debit,Loan Repayment,Operating expense
R0001,2025-07-15,357.3,credit,Online Order Revenue,Daily revenue
R0001,2025-07-15,280.42,debit,Insurance,Operating expense
R0001,2025-07-16,329.4,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-16,209.18,debit,Tax,Operating expense
R0001,2025-07-17,326.61,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-17,242.06,debit,Food & Beverage Supply,Operating expense
R0001,2025-07-18,342.74,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-18,195.57,debit,Staff Costs,Operating expense
R0001,2025-07-19,339.27,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-19,241.56,debit,Marketing,Operating expense
R0001,2025-07-20,437.02,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-20,299.32,debit,Staff Costs,Operating expense
R0001,2025-07-21,301.26,credit,Online Order Revenue,Daily revenue
R0001,2025-07-21,223.5,debit,Staff Costs,Operating expense
R0001,2025-07-22,276.69,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-22,212.87,debit,Staff Costs,Operating expense
R0001,2025-07-23,348.34,credit,Online Order Revenue,Daily revenue
R0001,2025-07-23,275.81,debit,Rent,Operating expense
R0001,2025-07-24,306.26,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-24,210.65,debit,Marketing,Operating expense
R0001,2025-07-25,249.14,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-25,227.86,debit,Food & Beverage Supply,Operating expense
R0001,2025-07-26,292.84,credit,Online Order Revenue,Daily revenue
R0001,2025-07-26,215.01,debit,Food & Beverage Supply,Operating expense
R0001,2025-07-27,300.31,credit,Online Order Revenue,Daily revenue
R0001,2025-07-27,230.26,debit,Insurance,Operating expense
R0001,2025-07-28,264.83,credit,Online Order Revenue,Daily revenue
R0001,2025-07-28,182.17,debit,Maintenance,Operating expense
R0001,2025-07-29,421.38,credit,Card Terminal Revenue,Daily revenue
R0001,2025-07-29,188.46,debit,Utilities,Operating expense
R0001,2025-07-30,291.45,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-30,297.92,debit,Maintenance,Operating expense
R0001,2025-07-31,452.63,credit,Walk-in Revenue,Daily revenue
R0001,2025-07-31,192.52,debit,Rent,Operating expense
R0001,2025-08-01,320.8,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-01,245.53,debit,Rent,Operating expense
R0001,2025-08-02,405.25,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-02,198.99,debit,Miscellaneous,Operating expense
R0001,2025-08-03,325.75,credit,Online Order Revenue,Daily revenue
R0001,2025-08-03,260.8,debit,Miscellaneous,Operating expense
R0001,2025-08-04,353.14,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-04,220.38,debit,Utilities,Operating expense
R0001,2025-08-05,330.24,credit,Online Order Revenue,Daily revenue
R0001,2025-08-05,185.39,debit,Miscellaneous,Operating expense
R0001,2025-08-06,326.03,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-06,224.23,debit,Utilities,Operating expense
R0001,2025-08-07,344.98,credit,Online Order Revenue,Daily revenue
R0001,2025-08-07,214.11,debit,Marketing,Operating expense
R0001,2025-08-08,354.62,credit,Online Order Revenue,Daily revenue
R0001,2025-08-08,269.04,debit,Marketing,Operating expense
R0001,2025-08-09,341.89,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-09,245.89,debit,Food & Beverage Supply,Operating expense
R0001,2025-08-10,337.77,credit,Online Order Revenue,Daily revenue
R0001,2025-08-10,233.57,debit,Marketing,Operating expense
R0001,2025-08-11,306.57,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-11,244.65,debit,Loan Repayment,Operating expense
R0001,2025-08-12,331.71,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-12,306.9,debit,Staff Costs,Operating expense
R0001,2025-08-13,398.99,credit,Online Order Revenue,Daily revenue
R0001,2025-08-13,247.08,debit,Insurance,Operating expense
R0001,2025-08-14,304.89,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-14,194.59,debit,Marketing,Operating expense
R0001,2025-08-15,383.6,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-15,242.77,debit,Maintenance,Operating expense
R0001,2025-08-16,354.96,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-16,172.44,debit,Marketing,Operating expense
R0001,2025-08-17,372.98,credit,Online Order Revenue,Daily revenue
R0001,2025-08-17,249.48,debit,Marketing,Operating expense
R0001,2025-08-18,290.9,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-18,217.04,debit,Maintenance,Operating expense
R0001,2025-08-19,346.25,credit,Online Order Revenue,Daily revenue
R0001,2025-08-19,235.4,debit,Staff Costs,Operating expense
R0001,2025-08-20,323.86,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-20,229.94,debit,Maintenance,Operating expense
R0001,2025-08-21,325.48,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-21,238.91,debit,Insurance,Operating expense
R0001,2025-08-22,394.89,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-22,143.64,debit,Marketing,Operating expense
R0001,2025-08-23,326.09,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-23,239.75,debit,Marketing,Operating expense
R0001,2025-08-24,347.55,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-24,220.53,debit,Maintenance,Operating expense
R0001,2025-08-25,264.87,credit,Online Order Revenue,Daily revenue
R0001,2025-08-25,245.05,debit,Food & Beverage Supply,Operating expense
R0001,2025-08-26,405.2,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-26,179.83,debit,Food & Beverage Supply,Operating expense
R0001,2025-08-27,370.42,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-27,222.05,debit,Tax,Operating expense
R0001,2025-08-28,333.16,credit,Online Order Revenue,Daily revenue
R0001,2025-08-28,196.68,debit,Utilities,Operating expense
R0001,2025-08-29,322.16,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-29,279.11,debit,Insurance,Operating expense
R0001,2025-08-30,359.09,credit,Card Terminal Revenue,Daily revenue
R0001,2025-08-30,294.25,debit,Utilities,Operating expense
R0001,2025-08-31,383.05,credit,Walk-in Revenue,Daily revenue
R0001,2025-08-31,248.95,debit,Marketing,Operating expense
R0001,2025-09-01,405.86,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-01,248.94,debit,Rent,Operating expense
R0001,2025-09-02,368.97,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-02,223.17,debit,Staff Costs,Operating expense
R0001,2025-09-03,338.31,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-03,209.13,debit,Food & Beverage Supply,Operating expense
R0001,2025-09-04,375.48,credit,Online Order Revenue,Daily revenue
R0001,2025-09-04,192.28,debit,Tax,Operating expense
R0001,2025-09-05,367.14,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-05,226.88,debit,Miscellaneous,Operating expense
R0001,2025-09-06,382.8,credit,Online Order Revenue,Daily revenue
R0001,2025-09-06,259.87,debit,Rent,Operating expense
R0001,2025-09-07,408.95,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-07,259.17,debit,Marketing,Operating expense
R0001,2025-09-08,272.31,credit,Online Order Revenue,Daily revenue
R0001,2025-09-08,231.22,debit,Maintenance,Operating expense
R0001,2025-09-09,288.42,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-09,215.41,debit,Utilities,Operating expense
R0001,2025-09-10,396.49,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-10,255.9,debit,Loan Repayment,Operating expense
R0001,2025-09-11,307.48,credit,Online Order Revenue,Daily revenue
R0001,2025-09-11,198.05,debit,Loan Repayment,Operating expense
R0001,2025-09-12,336.95,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-12,190.94,debit,Marketing,Operating expense
R0001,2025-09-13,308.6,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-13,244.49,debit,Marketing,Operating expense
R0001,2025-09-14,382.16,credit,Online Order Revenue,Daily revenue
R0001,2025-09-14,254.89,debit,Marketing,Operating expense
R0001,2025-09-15,243.34,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-15,244.23,debit,Insurance,Operating expense
R0001,2025-09-16,338.53,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-16,248.06,debit,Tax,Operating expense
R0001,2025-09-17,400.72,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-17,161.28,debit,Rent,Operating expense
R0001,2025-09-18,311.82,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-18,254.27,debit,Maintenance,Operating expense
R0001,2025-09-19,271.93,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-19,285.27,debit,Insurance,Operating expense
R0001,2025-09-20,350.46,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-20,263.22,debit,Maintenance,Operating expense
R0001,2025-09-21,312.63,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-21,262.07,debit,Marketing,Operating expense
R0001,2025-09-22,378.66,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-22,241.72,debit,Staff Costs,Operating expense
R0001,2025-09-23,345.07,credit,Online Order Revenue,Daily revenue
R0001,2025-09-23,243.03,debit,Insurance,Operating expense
R0001,2025-09-24,300.86,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-24,228.39,debit,Marketing,Operating expense
R0001,2025-09-25,329.48,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-25,247.0,debit,Maintenance,Operating expense
R0001,2025-09-26,375.9,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-26,196.48,debit,Insurance,Operating expense
R0001,2025-09-27,330.59,credit,Card Terminal Revenue,Daily revenue
R0001,2025-09-27,285.47,debit,Utilities,Operating expense
R0001,2025-09-28,305.68,credit,Online Order Revenue,Daily revenue
R0001,2025-09-28,204.76,debit,Food & Beverage Supply,Operating expense
R0001,2025-09-29,343.77,credit,Walk-in Revenue,Daily revenue
R0001,2025-09-29,263.15,debit,Loan Repayment,Operating expense
R0001,2025-09-30,336.09,credit,Online Order Revenue,Daily revenue
R0001,2025-09-30,280.12,debit,Miscellaneous,Operating expense
R0001,2025-10-01,370.13,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-01,263.06,debit,Staff Costs,Operating expense
R0001,2025-10-02,357.94,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-02,315.11,debit,Tax,Operating expense
R0001,2025-10-03,327.36,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-03,163.37,debit,Marketing,Operating expense
R0001,2025-10-04,400.24,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-04,217.53,debit,Maintenance,Operating expense
R0001,2025-10-05,339.97,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-05,279.44,debit,Rent,Operating expense
R0001,2025-10-06,271.1,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-06,189.71,debit,Food & Beverage Supply,Operating expense
R0001,2025-10-07,271.14,credit,Online Order Revenue,Daily revenue
R0001,2025-10-07,205.74,debit,Tax,Operating expense
R0001,2025-10-08,353.33,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-08,251.93,debit,Staff Costs,Operating expense
R0001,2025-10-09,346.75,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-09,184.07,debit,Loan Repayment,Operating expense
R0001,2025-10-10,242.59,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-10,235.47,debit,Maintenance,Operating expense
R0001,2025-10-11,316.63,credit,Online Order Revenue,Daily revenue
R0001,2025-10-11,249.66,debit,Insurance,Operating expense
R0001,2025-10-12,363.9,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-12,238.41,debit,Loan Repayment,Operating expense
R0001,2025-10-13,366.24,credit,Online Order Revenue,Daily revenue
R0001,2025-10-13,241.59,debit,Miscellaneous,Operating expense
R0001,2025-10-14,356.98,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-14,208.88,debit,Rent,Operating expense
R0001,2025-10-15,328.39,credit,Online Order Revenue,Daily revenue
R0001,2025-10-15,240.46,debit,Staff Costs,Operating expense
R0001,2025-10-16,368.67,credit,Online Order Revenue,Daily revenue
R0001,2025-10-16,219.77,debit,Miscellaneous,Operating expense
R0001,2025-10-17,356.62,credit,Online Order Revenue,Daily revenue
R0001,2025-10-17,224.25,debit,Marketing,Operating expense
R0001,2025-10-18,330.89,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-18,262.63,debit,Insurance,Operating expense
R0001,2025-10-19,255.36,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-19,188.14,debit,Tax,Operating expense
R0001,2025-10-20,275.93,credit,Online Order Revenue,Daily revenue
R0001,2025-10-20,151.81,debit,Utilities,Operating expense
R0001,2025-10-21,308.31,credit,Online Order Revenue,Daily revenue
R0001,2025-10-21,259.82,debit,Staff Costs,Operating expense
R0001,2025-10-22,324.15,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-22,240.49,debit,Insurance,Operating expense
R0001,2025-10-23,379.5,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-23,280.08,debit,Insurance,Operating expense
R0001,2025-10-24,332.84,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-24,280.99,debit,Maintenance,Operating expense
R0001,2025-10-25,339.34,credit,Online Order Revenue,Daily revenue
R0001,2025-10-25,204.23,debit,Utilities,Operating expense
R0001,2025-10-26,311.69,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-26,181.69,debit,Tax,Operating expense
R0001,2025-10-27,299.86,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-27,221.02,debit,Utilities,Operating expense
R0001,2025-10-28,367.99,credit,Walk-in Revenue,Daily revenue
R0001,2025-10-28,293.85,debit,Miscellaneous,Operating expense
R0001,2025-10-29,279.96,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-29,247.33,debit,Food & Beverage Supply,Operating expense
R0001,2025-10-30,293.72,credit,Online Order Revenue,Daily revenue
R0001,2025-10-30,250.19,debit,Utilities,Operating expense
R0001,2025-10-31,330.35,credit,Card Terminal Revenue,Daily revenue
R0001,2025-10-31,169.42,debit,Miscellaneous,Operating expense
R0001,2025-11-01,373.01,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-01,212.37,debit,Staff Costs,Operating expense
R0001,2025-11-02,314.12,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-02,196.09,debit,Utilities,Operating expense
R0001,2025-11-03,309.28,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-03,248.55,debit,Utilities,Operating expense
R0001,2025-11-04,328.01,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-04,245.08,debit,Insurance,Operating expense
R0001,2025-11-05,350.2,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-05,279.83,debit,Miscellaneous,Operating expense
R0001,2025-11-06,321.82,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-06,181.82,debit,Marketing,Operating expense
R0001,2025-11-07,378.61,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-07,221.95,debit,Rent,Operating expense
R0001,2025-11-08,380.52,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-08,246.99,debit,Marketing,Operating expense
R0001,2025-11-09,330.35,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-09,245.78,debit,Staff Costs,Operating expense
R0001,2025-11-10,414.2,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-10,306.33,debit,Food & Beverage Supply,Operating expense
R0001,2025-11-11,338.42,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-11,239.18,debit,Food & Beverage Supply,Operating expense
R0001,2025-11-12,378.97,credit,Online Order Revenue,Daily revenue
R0001,2025-11-12,203.94,debit,Utilities,Operating expense
R0001,2025-11-13,349.04,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-13,232.66,debit,Insurance,Operating expense
R0001,2025-11-14,348.27,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-14,204.37,debit,Rent,Operating expense
R0001,2025-11-15,271.61,credit,Online Order Revenue,Daily revenue
R0001,2025-11-15,160.94,debit,Food & Beverage Supply,Operating expense
R0001,2025-11-16,290.62,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-16,217.49,debit,Maintenance,Operating expense
R0001,2025-11-17,323.82,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-17,301.43,debit,Staff Costs,Operating expense
R0001,2025-11-18,380.17,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-18,199.86,debit,Staff Costs,Operating expense
R0001,2025-11-19,349.63,credit,Online Order Revenue,Daily revenue
R0001,2025-11-19,219.3,debit,Tax,Operating expense
R0001,2025-11-20,324.17,credit,Online Order Revenue,Daily revenue
R0001,2025-11-20,240.06,debit,Loan Repayment,Operating expense
R0001,2025-11-21,360.56,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-21,221.68,debit,Staff Costs,Operating expense
R0001,2025-11-22,378.47,credit,Online Order Revenue,Daily revenue
R0001,2025-11-22,193.56,debit,Loan Repayment,Operating expense
R0001,2025-11-23,335.88,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-23,324.57,debit,Miscellaneous,Operating expense
R0001,2025-11-24,344.61,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-24,283.78,debit,Loan Repayment,Operating expense
R0001,2025-11-25,339.31,credit,Online Order Revenue,Daily revenue
R0001,2025-11-25,253.91,debit,Tax,Operating expense
R0001,2025-11-26,333.34,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-26,227.59,debit,Food & Beverage Supply,Operating expense
R0001,2025-11-27,304.23,credit,Card Terminal Revenue,Daily revenue
R0001,2025-11-27,248.64,debit,Tax,Operating expense
R0001,2025-11-28,301.33,credit,Online Order Revenue,Daily revenue
R0001,2025-11-28,256.88,debit,Maintenance,Operating expense
R0001,2025-11-29,379.34,credit,Walk-in Revenue,Daily revenue
R0001,2025-11-29,246.4,debit,Staff Costs,Operating expense
R0001,2025-11-30,324.1,credit,Online Order Revenue,Daily revenue
R0001,2025-11-30,249.47,debit,Tax,Operating expense
R0001,2025-12-01,323.2,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-01,266.34,debit,Staff Costs,Operating expense
R0001,2025-12-02,261.87,credit,Online Order Revenue,Daily revenue
R0001,2025-12-02,221.81,debit,Miscellaneous,Operating expense
R0001,2025-12-03,255.45,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-03,181.18,debit,Staff Costs,Operating expense
R0001,2025-12-04,390.56,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-04,264.93,debit,Marketing,Operating expense
R0001,2025-12-05,306.65,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-05,180.92,debit,Miscellaneous,Operating expense
R0001,2025-12-06,216.23,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-06,214.52,debit,Insurance,Operating expense
R0001,2025-12-07,433.11,credit,Online Order Revenue,Daily revenue
R0001,2025-12-07,248.8,debit,Miscellaneous,Operating expense
R0001,2025-12-08,313.09,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-08,249.86,debit,Marketing,Operating expense
R0001,2025-12-09,272.76,credit,Online Order Revenue,Daily revenue
R0001,2025-12-09,223.15,debit,Loan Repayment,Operating expense
R0001,2025-12-10,339.63,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-10,230.55,debit,Maintenance,Operating expense
R0001,2025-12-11,367.48,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-11,245.64,debit,Staff Costs,Operating expense
R0001,2025-12-12,362.54,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-12,209.45,debit,Loan Repayment,Operating expense
R0001,2025-12-13,371.79,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-13,290.63,debit,Utilities,Operating expense
R0001,2025-12-14,296.55,credit,Online Order Revenue,Daily revenue
R0001,2025-12-14,202.46,debit,Tax,Operating expense
R0001,2025-12-15,389.43,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-15,226.86,debit,Maintenance,Operating expense
R0001,2025-12-16,392.17,credit,Online Order Revenue,Daily revenue
R0001,2025-12-16,218.06,debit,Tax,Operating expense
R0001,2025-12-17,394.23,credit,Online Order Revenue,Daily revenue
R0001,2025-12-17,238.17,debit,Maintenance,Operating expense
R0001,2025-12-18,346.03,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-18,288.38,debit,Staff Costs,Operating expense
R0001,2025-12-19,321.06,credit,Online Order Revenue,Daily revenue
R0001,2025-12-19,200.59,debit,Maintenance,Operating expense
R0001,2025-12-20,317.56,credit,Online Order Revenue,Daily revenue
R0001,2025-12-20,249.41,debit,Marketing,Operating expense
R0001,2025-12-21,272.57,credit,Online Order Revenue,Daily revenue
R0001,2025-12-21,255.9,debit,Rent,Operating expense
R0001,2025-12-22,313.93,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-22,273.78,debit,Tax,Operating expense
R0001,2025-12-23,239.2,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-23,206.01,debit,Staff Costs,Operating expense
R0001,2025-12-24,267.7,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-24,204.62,debit,Staff Costs,Operating expense
R0001,2025-12-25,345.6,credit,Online Order Revenue,Daily revenue
R0001,2025-12-25,227.28,debit,Staff Costs,Operating expense
R0001,2025-12-26,325.42,credit,Walk-in Revenue,Daily revenue
R0001,2025-12-26,227.99,debit,Insurance,Operating expense
R0001,2025-12-27,343.82,credit,Card Terminal Revenue,Daily revenue
R0001,2025-12-27,198.23,debit,Loan Repayment,Operating expense
